"202",1999-09-30,143.2
"203",1999-08-31,142.3
"204",1999-07-31,141.7
"205",1999-06-30,141.6
"206",1999-05-31,141.9
"207",1999-04-30,141.4
"208",1999-03-31,140.8
"209",1999-02-28,141.2
"210",1999-01-31,140.1
"211",1998-12-31,140.5
"212",1998-11-30,140.8
"213",1998-10-31,140.4
"214",1998-09-30,140.6
"215",1998-08-31,141.4
"216",1998-07-31,141.6
"217",1998-06-30,141.5
"218",1998-05-31,141.8
"219",1998-04-30,141.9
"220",1998-03-31,142.9
"221",1998-02-28,143
"222",1998-01-31,143.6
"223",1997-12-31,143.6
"224",1997-11-30,144
"225",1997-10-31,144.4
"226",1997-09-30,144.6
"227",1997-08-31,144.9
"228",1997-07-31,144.5
"229",1997-06-30,144.7
"230",1997-05-31,144.6
"231",1997-04-30,144.3
"232",1997-03-31,143.6
"233",1997-02-28,144.4
"234",1997-01-31,144.7
