"89",2011-03-12,89861,184507,255022,255928,343884,365552,235000
"90",2011-03-19,89089,183093,256028,346879,342509,319450,233562
"91",2011-03-26,90837,187061,252164,325906,333103,319450,234606
"92",2011-04-02,90931,185147,252594,331147,339357,319450,228669
"93",2011-04-09,87966,183823,261150,336955,331348,333681,227943
"94",2011-04-16,85619,182312,259512,369457,340093,319000,230172
"95",2011-04-23,76533,182864,255664,383134,332707,319000,231090
"96",2011-04-30,71880,84164,180502,252382,253455,350039,227845
"97",2011-05-07,85784,176824,248500,253495,344240,306245,223572
"98",2011-05-14,91418,178772,268326,344423,314507,319000,228453
"99",2011-05-21,94941,186728,268499,350532,323581,319000,235072
"100",2011-05-28,92270,92953,183545,255855,259886,388980,230915
"101",2011-06-04,93964,94914,179456,255126,429086,422252,229502
"102",2011-06-11,94390,174432,245405,485264,342636,280000,230926
"103",2011-06-18,99978,96881,176769,259125,486039,358218,236682
"104",2011-06-25,98520,95463,179509,262355,455485,347597,240476
"105",2011-07-02,97670,97991,181178,263011,449044,364990,247509
"106",2011-07-09,97670,97503,182585,264159,431824,360042,247956
"107",2011-07-16,100411,180805,275033,429056,335448,350000,248110
"108",2011-07-23,93950,101922,176556,271541,425492,336033,243385
"109",2011-07-30,93521,174479,275101,472685,341531,350000,246854
"110",2011-08-06,104557,97767,179842,265280,451533,337260,239229
"111",2011-08-13,108267,178267,259068,422599,328845,317500,232324
"112",2011-08-20,104007,172953,255711,421906,299095,340000,232653
"113",2011-08-27,107178,174022,245359,410475,299037,340000,235262
"114",2011-09-03,105969,104566,173775,251828,422614,306560,239504
"115",2011-09-10,103067,102400,166624,252548,447458,326462,239451
"116",2011-09-17,100289,101400,165385,248712,430838,343633,234227
"117",2011-09-24,100289,100289,166131,244414,420872,330035,232213
"118",2011-10-01,90120,101989,168215,242666,420832,321629,230142
"119",2011-10-08,95478,90805,168514,242527,416437,328414,232022
"120",2011-10-15,91033,174705,245540,407984,319245,291905,237623
"121",2011-10-22,91033,88648,168798,249048,246394,404720,235979
"122",2011-10-29,77749,164681,251446,411570,299876,323150,238262
"123",2011-11-05,68142,160666,249383,246559,415732,283490,230877
"124",2011-11-12,73472,164411,249776,404966,440776,303833,232543.5
"125",2011-11-19,75462,162569,243927,386115,390068,304217,225848.5
"126",2011-11-26,77740,81299,161207,161081,233727,241863,225650
"127",2011-12-03,75859,147687,154042,236729,234328,392206,213699.5
"128",2011-12-10,73819,149071,236828,384809,297930,201936,213831
"129",2011-12-17,70846,151402,229822,383535,294382,304773,212669
"130",2011-12-24,71437,151801,154030,227175,379288,385012,213564
"131",2011-12-31,72457,155542,232674,379503,311878,311259,218756
"132",2012-01-07,72085,153658,251810,372596,393045,281115,222219
"133",2012-01-14,71942,156505,262607,402348,345449,275988,227529.5
"134",2012-01-21,75136,156492,260176,257972,448052,350988,232568.5
"135",2012-01-28,76327,74622,161317,156068,258043,476947,229772
"136",2012-02-04,70345,161108,253596,495197,358512,549000,229261
"137",2012-02-11,69001,152638,256944,255066,482106,371129,229130.5
"138",2012-02-18,68862,153049,256212,488340,372087,452571,231496
"139",2012-02-25,70038,156835,254111,505124,352250,420000,237990
"140",2012-03-03,69786,159052,262777,494971,343650,361429,245636
"141",2012-03-10,74208,162155,258368,462949,343650,360000,248993
"142",2012-03-17,75499,162996,262971,469224,345914,338816,254867
"143",2012-03-24,74922,164204,260004,492209,352257,254097,253555
"144",2012-03-31,74129,161982,256141,518532,365185,236927,254188
"145",2012-04-07,73109,160976,252246,526813,376537,244045,248250
"146",2012-04-14,74839,159560,261272,486771,380718,244725,248636
"147",2012-04-21,80049,160321,275917,485076,369667,254215,257191
"148",2012-04-28,89125,160508,250555,414171,459568,402467,257618
"149",2012-05-05,84125,155266,245238,375728,389561,257500,247147
"150",2012-05-12,67712,154660,247591,362637,354110,319455,237159
"151",2012-05-19,68105,66994,154230,253266,383113,376762,238657
"152",2012-05-26,74742,73689,159781,254903,384707,399346,250615
"153",2012-06-02,92450,73455,165779,247508,335776,398152,256550
"154",2012-06-09,72119,163281,245721,336556,284189,252346,244379
"155",2012-06-16,72614,167980,235774,341816,350977,263289,245731
"156",2012-06-23,70060,165484,237246,382782,359233,328371,252802
"157",2012-06-30,62938,58911,166782,249302,362831,359889,256529
"158",2012-07-07,55938,164747,240436,353803,426457,401268,251820
"159",2012-07-14,59926,166121,238520,345048,376938,264750,255205
"160",2012-07-21,59950,167151,253240,348361,354096,374937,261193
"161",2012-07-28,68271,164613,234757,387209,354433,392410,260189
"162",2012-08-04,83748,162588,237838,373478,361087,266878,259983
"163",2012-08-11,59950,144708,267228,278065,375979,361566,261112.5
"164",2012-08-18,56336,141229,288502,372934,384949,233400,263463.5
"165",2012-08-25,58981,138089,289982,361764,351272,385847,263067
"166",2012-09-01,50664,141048,277433,347167,350538,447499,273794
"167",2012-09-08,51812,146498,269800,356371,328591,473240,268724
"168",2012-09-15,71279,148806,260549,369345,355834,466830,259921
"169",2012-09-22,75329,146875,144869,249769,350337,335328,247503
"170",2012-09-29,78361,143649,142230,258270,337751,327226,245516.5
"171",2012-10-06,71731,138419,255706,325216,316801,444544,246205
"172",2012-10-13,63972,141423,134102,255167,318748,314615,243348
"173",2012-10-20,50932,137110,256519,305548,297315,489521,241841
"174",2012-10-27,52256,135682,260494,324223,320397,481352,246841
"175",2012-11-03,51750,144916,259452,312961,562294,266905,251193
"176",2012-11-10,51579,142903,137096,239306,318170,598188,248651
"177",2012-11-17,51281,134181,135470,239787,333717,579333,247588
"178",2012-11-24,50269,135552,133680,225648,337683,634967,245612
"179",2012-12-01,45330,130953,222772,333406,641324,256595,238394
"180",2012-12-08,45517,130626,223689,314634,324133,614841,239934
"181",2012-12-15,60691,132989,239507,310808,576515,263000,247037
"182",2012-12-22,62162,143545,232816,325666,570712,215000,250353
"183",2012-12-29,61064,138118,227706,348796,448791,215000,237114
"184",2013-01-05,56592,134782,205233,353453,365967,427011,220417.5
"185",2013-01-12,47945,135365,204473,363658,365967,455078,229360
"186",2013-01-19,51550,126859,207072,361979,493732,215000,243611
"187",2013-01-26,51668,130313,221508,346981,547230,215000,247163
"188",2013-02-02,50589,138572,247017,346831,549743,230000,255546
"189",2013-02-09,55382,139539,134916,139503,233554,367527,247196
"190",2013-02-16,49700,138817,229028,340654,379084,626276,244334
"191",2013-02-23,50182,159193,241544,433506,773650,722370,282962
"192",2013-03-02,51406,164106,242881,407343,681852,230000,259880
